"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 14, 2020","1,907.30","1,895.40","1,917.50","1,885.00","188.30K","0.67%"
"Oct 13, 2020","1,894.60","1,927.30","1,930.60","1,889.30","267.54K","-1.78%"
"Oct 12, 2020","1,928.90","1,935.00","1,939.40","1,923.80","157.21K","0.14%"
"Oct 09, 2020","1,926.20","1,898.40","1,936.80","1,898.00","-","1.64%"
"Oct 08, 2020","1,895.10","1,890.60","1,905.30","1,885.30","180.91K","0.23%"
"Oct 07, 2020","1,890.80","1,882.60","1,902.40","1,877.10","188.59K","-0.94%"
"Oct 06, 2020","1,908.80","1,917.80","1,927.00","1,878.20","219.44K","-0.59%"
"Oct 05, 2020","1,920.10","1,910.90","1,924.90","1,891.20","177.59K","0.66%"
"Oct 02, 2020","1,907.60","1,911.00","1,923.60","1,895.20","212.73K","-0.45%"
"Oct 01, 2020","1,916.30","1,891.20","1,917.90","1,890.00","262.09K","1.10%"
"Sep 30, 2020","1,895.50","1,903.20","1,908.20","1,885.80","259.87K","-0.40%"
"Sep 29, 2020","1,903.20","1,886.40","1,904.80","1,880.80","217.80K","1.11%"
"Sep 28, 2020","1,882.30","1,862.70","1,888.20","1,851.10","235.92K","0.86%"
"Sep 25, 2020","1,866.30","1,872.70","1,879.30","1,854.10","230.86K","-0.56%"
"Sep 24, 2020","1,876.90","1,866.90","1,880.90","1,851.00","345.04K","0.45%"
"Sep 23, 2020","1,868.40","1,905.10","1,909.90","1,856.00","411.56K","-2.05%"
"Sep 22, 2020","1,907.60","1,918.10","1,925.50","1,898.90","282.71K","-0.16%"
"Sep 21, 2020","1,910.60","1,957.30","1,962.90","1,885.40","381.84K","-2.62%"
"Sep 18, 2020","1,962.10","1,951.10","1,968.20","1,951.10","174.77K","0.63%"
"Sep 17, 2020","1,949.90","1,967.60","1,969.30","1,938.20","273.14K","-1.05%"
"Sep 16, 2020","1,970.50","1,961.40","1,983.80","1,957.20","298.39K","0.22%"
"Sep 15, 2020","1,966.20","1,966.20","1,982.40","1,955.60","239.54K","0.13%"
"Sep 14, 2020","1,963.70","1,948.90","1,972.50","1,945.20","200.09K","0.81%"
"Sep 11, 2020","1,947.90","1,953.80","1,963.40","1,944.00","205.23K","-0.83%"
"Sep 10, 2020","1,964.30","1,955.30","1,975.20","1,948.60","271.48K","0.48%"
"Sep 09, 2020","1,954.90","1,939.40","1,959.70","1,926.30","227.18K","0.60%"
"Sep 08, 2020","1,943.20","1,938.00","1,948.30","1,911.70","416.01K","0.31%"
"Sep 07, 2020","1,937.10","1,940.70","1,947.40","1,930.45","-","-0.18%"
"Sep 06, 2020","1,940.65","1,941.90","1,944.30","1,937.65","-","0.33%"
